"CIK","Date","Score","Year"
"880797","1997-10-15","-0.001404413872169676","1997"
"842013","1997-10-20","-0.003451426251142016","1997"
"883095","1997-10-30","-0.0036900369003690036","1997"
"847319","1997-11-05","-0.005673027333677153","1997"
"897391","1997-11-20","-0.0065760220916898735","1997"
"320193","1997-12-11","-0.009591225049422869","1997"
"764624","1997-12-11","-0.0025269317728421332","1997"
"745933","1997-12-23","-0.003527336860670194","1997"
"1750","1998-01-08","0.0006397952655150352","1998"
"55627","1998-01-09","0.00022822365918600228","1998"
"38777","1998-01-22","-0.0006025911419102139","1998"
"1027401","1998-01-28","0.0","1998"
"883622","1998-01-29","-0.0008480473166913108","1998"
"845379","1998-01-30","-0.0023652644027707384","1998"
"1052637","1998-02-06","-0.002035465958867304","1998"
"354204","1998-02-10","0.005221932114882507","1998"
"8947","1998-02-10","0.0","1998"
"798172","1998-02-23","0.003995360226833355","1998"
"932101","1998-04-09","0.0","1998"
"1006384","1998-04-10","0.00036859565057132326","1998"
"844618","1998-04-14","-0.003305785123966942","1998"
"910606","1998-04-15","0.00091000091000091","1998"
"879101","1998-04-23","-0.002548703676578292","1998"
"710752","1998-05-11","-0.00028145229383619476","1998"
"1062795","1998-06-01","0.0017123287671232876","1998"
"945699","1998-06-09","-0.013310230763172403","1998"
"1060348","1998-06-23","-0.0049451293862620245","1998"
"879575","1998-06-26","0.006584043377226956","1998"
"863441","1998-07-07","0.0007271669575334497","1998"
"1038243","1998-07-09","0.007658643326039387","1998"
"732812","1998-07-09","0.007534983853606028","1998"
"884142","1998-07-17","-0.0007253735673872045","1998"
"897800","1998-07-28","0.0009699321047526673","1998"
"724201","1998-08-05","0.0","1998"
"1060561","1998-08-12","-0.0014446357784275428","1998"
"1026816","1998-08-19","-0.0011534025374855825","1998"
"780513","1998-09-23","-0.003169572107765452","1998"
"46967","1998-09-24","-0.005176911788684168","1998"
"808064","1998-10-08","0.0017196904557179708","1998"
"712534","1998-11-02","0.008445945945945946","1998"
"811156","1998-11-06","-0.005024003572624763","1998"
"916802","1998-11-10","-0.010121457489878543","1998"
"1024310","1998-11-20","-0.001692047377326565","1998"
"896938","1998-11-23","-0.005472785556496753","1998"
"1032903","1998-12-01","0.0","1998"
"1018848","1998-12-10","-0.0049762007788836","1998"
"901175","1998-12-29","-0.009479318469689335","1998"
"1008990","1998-12-30","-0.010139416983523447","1998"
"781805","1999-01-22","9.384384384384384e-05","1999"
"896493","1999-02-05","0.007407407407407408","1999"
"753568","1999-02-11","0.0","1999"
"1018042","1999-02-12","-0.0005945303210463733","1999"
"1036288","1999-02-12","0.0015987210231814548","1999"
