"Date","CIK","Score"
"2020-08-24","1593547",""
"2020-08-07","1737953",""
"2020-07-02","1366561",""
"2020-10-27","1525769",""
"2020-11-05","886206",""
"2020-11-12","1830088",""
"2020-11-05","783401",""
"2020-12-31","2768",""
"2020-12-30","1045609",""
"2020-10-02","1041175",""
"2020-10-05","1620189",""
"2020-11-06","1754305",""
"2020-11-10","1757932",""
"2021-02-25","1590714",""
"2021-02-16","1576942",""
"2021-01-14","911507",""
"2021-03-03","846913",""
"2021-03-03","1063537",""
"2021-02-10","1789029",""
"2021-03-16","1815442",""
"2021-01-05","1436126",""
"2021-03-03","1698216",""
"2021-03-24","1424958",""
"2021-04-19","1637715",""
"2021-06-04","1328259",""
"2021-05-26","1360163",""
"2021-04-29","1305253",""
"2021-05-06","1860727",""
"2021-04-12","1332551",""
"2021-04-23","1469770",""
"2021-04-29","1520595",""
"2021-05-11","1666268",""
"2021-05-05","1280058",""
"2021-09-17","1361113",""
"2021-07-22","1053507",""
"2021-08-03","1666268",""
"2021-09-16","1867117",""
"2021-08-24","19617",""
"2021-08-17","1678660",""
"2021-07-07","1871339",""
"2021-07-28","1196878",""
"2021-09-27","1203464",""
"2021-08-19","811809",""
"2021-10-18","1611146",""
"2021-12-29","743758",""
"2021-10-14","1887974",""
"2021-12-03","1690820",""
"2021-10-08","1543268",""
"2021-10-21","1665650",""
"2021-11-16","1583833",""
"2021-11-26","1419828",""
"2021-11-17","1873923",""
"2021-10-15","1859014",""
